# variable_costs_2023.csv - GENERATED by Tools/energy_market_prep.pl (EN-3). The merit order's inputs per country and fossil category, 2023 vintage, in the country's currency (EUR for the five, USD for the USA), carried nominal by the price level (P5-B6).
# fuel_per_mwh_th: DE FR IT PL SE - hard coal from the World Bank Pink Sheet 2023 mean (Australian, 172.78 US$/t) at the ECB 2023 rate (1.0813 US$/EUR) over 25.12 GJ/t; LIGNITE at EIA's 2023 US lignite delivered cost (EPA Table 7.4, 1.79 US$/MMBtu) as a [PROVISIONAL] proxy for an untraded fuel, blended by each country's lignite share of coal input (Eurostat nrg_bal_c); gas from TTF (13.113 US$/mmbtu, GCV -> NCV x1.108); oil from Brent (82.62 US$/bbl), manufactured gases at 0, blended by input; US - EIA EPA Table 7.4 2023 delivered cost (all coal 2.51, gas 3.36, petroleum 15.98 US$/MMBtu).
# efficiency: DERIVED - gross electricity from the category's fuels (Eurostat nrg_bal_peh GEP by fuel; EIA-923 net generation by fuel) over the fuel burned for electricity (electricity-only plants + CHP's electricity share), NCV. ef_t_per_mwh: DERIVED - the same fuel's CO2 at the IPCC 2006 defaults over the same electricity. main_share: the main-activity producers' share of the category's generation (EDGAR's 1A1 basis).
# vom_per_mwh: EIA AEO2023 'Cost and Performance Characteristics of New Generating Technologies', Table 1, variable O&M 2022 US$/MWh - coal = ultra-supercritical (5.06), gas = combined-cycle multi-shaft (2.10), oil = combustion-turbine industrial frame (5.06) - at the ECB rate for the five (a US series applied to Europe: the only one reached). availability: [AUTHORED-DRAFT] 0.85 - the ERAA de-rating row is BILLED. ets_per_t: the EU ETS 2023 secondary mean for the five, 0 for the USA.
# national_per_market: the country's currency per unit of the market's - 1 for the euro members and the USA, the ECB 2023 reference rates for Sweden (11.4788 SEK/EUR) and Poland (4.5420 PLN/EUR); the carbon tax's points are national currency per tonne and enter the merit order through it.
# usd_per_market: the BOOK's dollars per unit of the market's currency - the game keeps every country's book in US dollars - the ECB 2023 reference rate 1.0813 USD/EUR for the five, 1 for the USA; the fiscal layer's stack and ledgers are in the book's dollars through it.
country;category;fuel_per_mwh_th;efficiency;ef_t_per_mwh;vom_per_mwh;availability;main_share;lignite_share;ets_per_t;national_per_market;usd_per_market
DE;coal;10.86;0.3989;0.8946;4.68;0.85;0.9706;0.7093;85.51;1.0000;1.0813
DE;gas;45.85;0.6315;0.3198;1.94;0.85;0.7032;0.7093;85.51;1.0000;1.0813
DE;oil;18.88;0.4114;1.4440;4.68;0.85;0.0617;0.7093;85.51;1.0000;1.0813
FR;coal;22.90;0.3877;0.8783;4.68;0.85;0.9000;0.0000;85.51;1.0000;1.0813
FR;gas;45.85;0.6742;0.2995;1.94;0.85;0.8255;0.0000;85.51;1.0000;1.0813
FR;oil;40.07;0.3930;0.9854;4.68;0.85;0.7831;0.0000;85.51;1.0000;1.0813
IT;coal;22.90;0.3501;0.9726;4.68;0.85;1.0000;0.0000;85.51;1.0000;1.0813
IT;gas;45.85;0.6020;0.3355;1.94;0.85;0.8126;0.0000;85.51;1.0000;1.0813
IT;oil;43.38;0.3292;0.8986;4.68;0.85;0.1957;0.0000;85.51;1.0000;1.0813
PL;coal;17.32;0.5061;0.6878;4.68;0.85;0.9809;0.3290;85.51;4.5420;1.0813
PL;gas;45.85;0.6622;0.3050;1.94;0.85;0.5347;0.3290;85.51;4.5420;1.0813
PL;oil;19.10;0.4326;0.9051;4.68;0.85;0.3616;0.3290;85.51;4.5420;1.0813
SE;coal;22.90;0.9169;0.3714;4.68;0.85;1.0000;0.0000;85.51;11.4788;1.0813
SE;gas;45.85;0.9726;0.2076;1.94;0.85;0.7987;0.0000;85.51;11.4788;1.0813
SE;oil;17.27;0.7327;0.9553;4.68;0.85;0.5026;0.0000;85.51;11.4788;1.0813
US;coal;8.99;0.3181;1.0831;5.06;0.85;0.9933;0.0542;0.00;1.0000;1.0000
US;gas;12.70;0.4503;0.4485;2.10;0.85;0.9412;0.0542;0.00;1.0000;1.0000
US;oil;57.80;0.3905;0.8295;5.06;0.85;0.6686;0.0542;0.00;1.0000;1.0000
